uf,municipio,bairro,categoria_macro
ES,SERRA,CONJUNTO CARAPINA I,digital
ES,ARACRUZ,GUANABARA,digital
ES,SAO ROQUE DO CANAA,TANCREDO,digital
ES,SERRA,JARDIM TROPICAL,digital
ES,CACHOEIRO DE ITAPEMIRIM,BURARAMA,digital
ES,SERRA,BAIRRO DE FATIMA,digital
ES,COLATINA,PERPETUO SOCORRO,digital
ES,ANCHIETA,SAMARCO,digital
ES,BARRA DE SAO FRANCISCO,BAIRRO IRMAOS FERNANDES,digital
ES,ALFREDO CHAVES,URANIA,digital
ES,VITORIA,GRANDE VITORIA,digital
ES,NOVA VENECIA,AEROPORTO,digital
ES,CACHOEIRO DE ITAPEMIRIM,VILA RICA,digital
ES,VILA VELHA,BARRAMARES,digital
ES,ANCHIETA,ALTO PONGAL,digital
ES,ANCHIETA,ITAPEUNA,digital
ES,SERRA,CARAPINA I,digital
ES,FUNDAO,CENTRO,digital
ES,GUARAPARI,IGUAPE,digital
ES,SERRA,SERRA DOURADA III,digital
ES,VITORIA,JABOUR,digital
ES,CACHOEIRO DE ITAPEMIRIM,INDEPENDENCIA,digital
ES,ARACRUZ,RIACHO,digital
