data_fato,hora_fato,grupo_incidente,tipo_incidente,uf,idade,genero,cor,municipio,bairro,tipo_local,fonte_dados,categoria_macro,ano,mes,mes_nome,data_mes,dia_da_semana_num,dia_da_semana,fim_de_semana,hora_num,periodo_dia,faixa_etaria
2025-03-12,15:09,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,23.0,1 - MASCULINO,PARDA,SERRA,VISTA DA SERRA I,DOMICÍLIO,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,2.0,QUA,False,15,TARDE,18_24
2025-03-12,06:28,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,37.0,1 - MASCULINO,PARDA,ITAPEMIRIM,GARRAFAO,OUTROS LOCAIS,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,2.0,QUA,False,6,MANHA,35_44
2025-04-02,22:26,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,19.0,1 - MASCULINO,PARDA,AGUA DOCE DO NORTE,CORREGO DO CEDRO,VIA PÚBLICA,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,2.0,QUA,False,22,NOITE,18_24
2025-04-03,09:12,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,19.0,1 - MASCULINO,PARDA,VILA VELHA,COBI DE CIMA,VIA PÚBLICA,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,3.0,QUI,False,9,MANHA,18_24
2025-04-05,22:41,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,46.0,1 - MASCULINO,NEGRA,AFONSO CLAUDIO,CENTRO,VIA PÚBLICA,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,5.0,SAB,True,22,NOITE,45_54
2025-04-05,16:30,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,,1 - MASCULINO,PREJUDICADO,VILA VELHA,XURY,UNIDADE PRISIONAL,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,5.0,SAB,True,16,TARDE,
2025-04-05,14:02,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,33.0,1 - MASCULINO,PARDA,SERRA,BAIRRO DAS LARANJEIRAS,VIA PÚBLICA,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,5.0,SAB,True,14,TARDE,25_34
2025-04-05,08:42,CRIMES CONTRA A PESSOA,FEMINICÍDIO,ES,38.0,2 - FEMININO,BRANCA,CARIACICA,BOA SORTE,CURSO D'ÁGUA,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,5.0,SAB,True,8,MANHA,35_44
2025-04-06,18:31,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,26.0,1 - MASCULINO,PARDA,ECOPORANGA,VILA NOVA,VIA PÚBLICA,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,6.0,DOM,True,18,NOITE,25_34
2025-04-06,18:26,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,50.0,1 - MASCULINO,PARDA,LINHARES,NOVA ESPERANÇA,VIA PÚBLICA,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,6.0,DOM,True,18,NOITE,45_54
