fonte_dados,categoria_macro,genero,cor,idade,faixa_etaria,municipio,bairro,sexo,cutis
homicidios,violencia_social,1 - MASCULINO,PARDA,21.0,18_24,MARATAIZES,BARRA DE ITAPEMIRIM,,
homicidios,violencia_social,1 - MASCULINO,PARDA,29.0,25_34,GUARAPARI,VARZEA NOVA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,41.0,35_44,VILA VELHA,ZUMBI DOS PALMARES,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,20.0,18_24,VILA VELHA,SAO CONRADO,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,22.0,18_24,VILA VELHA,BARRAMARES,,
homicidios,violencia_social,1 - MASCULINO,PARDA,35.0,35_44,SERRA,NOVO HORIZONTE,,
homicidios,violencia_social,1 - MASCULINO,PARDA,18.0,18_24,SERRA,NOVO HORIZONTE,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,35.0,35_44,SERRA,NOVO HORIZONTE,,
homicidios,violencia_social,1 - MASCULINO,PARDA,24.0,18_24,PONTO BELO,CENTRO,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,24.0,18_24,ITAPEMIRIM,LIMAO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,37.0,35_44,RIO BANANAL,ZONA RURAL,,
homicidios,violencia_social,1 - MASCULINO,PARDA,26.0,25_34,SAO MATEUS,NOVO HORIZONTE,,
homicidios,violencia_social,1 - MASCULINO,PARDA,23.0,18_24,JAGUARE,SEAC,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,20.0,18_24,SERRA,PLANALTO SERRANO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,39.0,35_44,SAO MATEUS,RESEDENCIAL PARQUE WASHIGTON,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,38.0,35_44,VITORIA,SAO JOSE,,
homicidios,violencia_social,1 - MASCULINO,PARDA,61.0,55_64,SERRA,JARDIM CARAPINA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,28.0,25_34,SERRA,JARDIM CARAPINA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,27.0,25_34,PRESIDENTE KENNEDY,JAQUEIRA,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,56.0,55_64,BREJETUBA,SAO JORGE,,
homicidios,violencia_social,1 - MASCULINO,PARDA,27.0,25_34,JAGUARE,BOA VISTA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,20.0,18_24,SERRA,CIDADE POMAR,,
