_id,Nº OCORRÊNCIA,DATA DO FATO,HORA DO FATO,TIPO OBJETO,AÇÃO OBJETO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL,TIPO,MARCA,MODELO,COR VEÍCULO
12387,58430412,2025-06-26T00:00:00,12:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,ARIBIRI,AV CARLOS LINDENBERG,VIA PÚBLICA,S/I,SAMSUNG,A05,S/I
12388,58430664,2025-06-26T00:00:00,10:16:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: BICICLETA,ES,BARRA DE SAO FRANCISCO,CENTRO,AV JONES SANTOS NEVES,VIA PÚBLICA,S/I,DROPPX,18 MARCHAS,S/I
12389,58430926,2025-06-26T00:00:00,02:30:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM RESIDÊNCIA/CONDOMÍNIO,ES,VILA VELHA,PRAIA DE ITAPARICA,RUA CECILIA MARCHESI PAVESI,RESIDÊNCIA,S/I,OGGI,Oggi 29 BW 8.2 Cues 10v,S/I
12390,58431768,2025-06-26T00:00:00,14:30:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CARAPINA,S/I,VIA PÚBLICA,S/I,APPLE,13,S/I
12391,58431908,2025-06-26T00:00:00,15:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: AUTOMOTOR: PARTICULAR,ES,SERRA,PARQUE RESIDENCIAL LARANJEIRAS,RUA BEETHOVEN,VIA PÚBLICA,CAMIONETA,GM / CHEVROLET,CHEVI 500,BRANCO
12392,58431939,2025-06-26T00:00:00,Indeterminada,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: CICLOMOTOR,ES,SERRA,PARQUE RESIDENCIAL LARANJEIRAS,AV. ELDES SCHERRER DE SOUZA,VIA PÚBLICA,MOTOCICLETA,HONDA,SAHARA,CINZA
12393,58432035,2025-06-26T00:00:00,05:40:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,GRAUNA,RUA PROJETADA,VIA PÚBLICA,S/I,OUTROS,IPHONE 13,S/I
12394,58432658,2025-06-26T00:00:00,02:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: CICLOMOTOR,ES,VILA VELHA,ARIBIRI,RUA NOSSA SENHORA DO ROSARIO,RESIDÊNCIA,MOTOCICLETA,HONDA,CG150 FAN ESDI,VERMELHO
12395,58433122,2025-06-26T00:00:00,16:45:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM ESTABELECIMENTO COMERCIAL,ES,VILA VELHA,CENTRO VILA VELHA,AVENIDA CHAMPAGNAT,COMÉRCIO,S/I,SAMSUNG,A 30,S/I
12396,58433155,2025-06-26T00:00:00,06:20:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,VILA CAJUEIRO,RUA: PADRE MATIAS,VIA PÚBLICA,S/I,SAMSUNG,GALAXY A05,S/I
12397,58433292,2025-06-26T00:00:00,17:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,ARACRUZ,CENTRO EMPRESARIAL,AVENIDA CORONEL VENANCIO FLORES,COMÉRCIO,S/I,SAMSUNG,SAMSUNG A32,S/I
12398,58433362,2025-06-26T00:00:00,19:25:00,VEICULO,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO,ES,RIO NOVO DO SUL,CENTRO,RUA MARIA ELIAS MAMERI,VIA PÚBLICA,MOTOCICLETA,HONDA,CG 160 FAN,VERMELHO
12399,58433956,2025-06-26T00:00:00,19:00:00,VEICULO,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO,ES,CARIACICA,PADRE GABRIEL,RUA ERNESTO CHEGUEVARA,VIA PÚBLICA,AUTOMÓVEL,CHERY,TIGGO 5 2.0 ACT,BRANCO
12400,58433980,2025-06-26T00:00:00,17:20:00,VEICULO,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM RESIDÊNCIA/CONDOMÍNIO,ES,VILA VALERIO,ZONA RURAL,DIVISA COM A COMUNIDADE  VALIATTI,RESIDÊNCIA,CAMINHONETE,FIAT,STRADA FIRE,VERMELHO
12401,58434666,2025-06-26T00:00:00,22:20:01,VEICULO,FURTADO,OCORRÊNCIAS DIVERSAS/ASSISTÊNCIAIS,OCORRÊNCIAS DIVERSAS/ASSISTÊNCIAIS: RECUPERAÇÃO DE PRODUTO DE FURTO OU ROUBO,ES,AGUA DOCE DO NORTE,CRISTO REI,AVENIDA SEBASTIAO COELHO DE SOUZA,VIA PÚBLICA,MOTOCICLETA,HONDA,CG 125,PRATA
12402,58434814,2025-06-26T00:00:00,21:45:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,JARDIM AMERICA,ROD. BR 262,VIA PÚBLICA,S/I,APPLE,IPHONE 13,S/I
12403,58435071,2025-06-26T00:00:00,16:30:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,CARIACICA,VILA CAPIXABA,RUA ALFREDO CHAVES,VIA PÚBLICA,MOTOCICLETA,HONDA,CG 160 FAN,CINZA
12404,58435257,2025-06-26T00:00:00,15:30:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM TRANSPORTE COLETIVO,ES,CARIACICA,CAMPO GRANDE,AV EXPEDITO GARCIA,VEÍCULO,S/I,SAMSUNG,GALAXY A05,S/I
12405,58435378,2025-06-26T00:00:00,19:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,VILA VELHA,GUARANHUNS,AV SERGIO CARDOSO,VIA PÚBLICA,AUTOMÓVEL,TOYOTA,HILUX 4CDL SR,PRATA
12406,58435524,2025-06-26T00:00:00,23:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,VILA VELHA,SANTA INES,RUA FELIPE CAMARÃO,VIA PÚBLICA,AUTOMÓVEL,FIAT,UNO ELECTRONIC,PRETO
12407,58436539,2025-06-26T00:00:00,17:35:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,NOVO BRASIL,AVENIDA BOA VISTA,VIA PÚBLICA,S/I,SAMSUNG,S/I,S/I
12408,58436550,2025-06-26T00:00:00,17:35:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,NOVO BRASIL,S/I,VIA PÚBLICA,S/I,MOTOROLA,MOTOROLA EDGE 40 NEO,S/I
12409,58436671,2025-06-26T00:00:00,17:05:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM TRANSPORTE COLETIVO,ES,VILA VELHA,ARIBIRI,S/I,TRANSP COLETIVO,S/I,SAMSUNG,GALAXY A15,S/I
12410,58437088,2025-06-26T00:00:00,08:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM TRANSPORTE COLETIVO,ES,VITORIA,ILHA DE SANTA MARIA,AV RETA DA PENHA,VIA PÚBLICA,S/I,APPLE,IPHONE 12 / AZUL,S/I
12411,58437362,2025-06-26T00:00:00,06:01:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,CACHOEIRO DE ITAPEMIRIM,PARAISO,AV FRANCISCO LACERDA DE AGUIAR,OUTRO LOCAL,S/I,SAMSUNG,GALAXY S24 ULTRA,S/I
12412,58437370,2025-06-26T00:00:00,06:14:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,OUTRO LOCAL,"RUA ÁFRICA DO SUL, PADRE MATHIASES",VIA PÚBLICA,S/I,SAMSUNG,A05 BRANCO,S/I
12413,58437462,2025-06-26T00:00:00,21:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: CICLOMOTOR,ES,VILA VELHA,PRAIA DE ITAPARICA,AVENIDA ANTONIO DE ALMEIDA FILHO,RESIDÊNCIA,MOTOCICLETA,HONDA,XRE 190,VERDE
12414,58437776,2025-06-26T00:00:00,08:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,ALTO LAGE,RUA ARTHUS MAZELI,VIA PÚBLICA,S/I,SAMSUNG,GALAXY A06,S/I
12415,58437933,2025-06-26T00:00:00,00:00:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,SAO MATEUS,BOM SUCESSO,S/I,VIA PÚBLICA,S/I,POLTI,ARO 26,S/I
12416,58438088,2025-06-26T00:00:00,17:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM RESIDÊNCIA/CONDOMÍNIO,ES,ARACRUZ,DECARLI,RUA JOSÉ SOEIRO DA ROSA LOUREIRO,RESIDÊNCIA,S/I,SAMSUNG,GALAXY S20 FE,S/I
12417,58438097,2025-06-26T00:00:00,02:45:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: BICICLETA,ES,VILA VELHA,ITAPOA,AVENIDA FORTALEZA,RESIDÊNCIA,S/I,CALOI,PASSEIO,S/I
12418,58438104,2025-06-26T00:00:00,11:20:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM VEÍCULO,ES,CARIACICA,FLEXAL II,S/I,VEÍCULO,S/I,APPLE,IPHONE 14 PRO MAX 512GB,S/I
12419,58439002,2025-06-26T00:00:00,16:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM TRANSPORTE COLETIVO,ES,VILA VELHA,SAO TORQUATO,S/I,TRANSP COLETIVO,S/I,MOTOROLA,G53,S/I
12420,58439005,2025-06-26T00:00:00,16:42:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,SANTA CLARA,S/I,VIA PÚBLICA,S/I,APPLE,IPHONE 15,S/I
12421,58439100,2025-06-26T00:00:00,23:15:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,SERRA,COLINA DE LARANJEIRAS,AV. ELDES SCHERRER DE SOUZA,VIA PÚBLICA,S/I,APPLE,IPHONE 7,S/I
12422,58439280,2025-06-26T00:00:00,14:40:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,SERRA,PLANALTO DE CARAPINA,ROD. GOVERNADOR MARIO COVAS,VEÍCULO,S/I,SAMSUNG,GALAXY A73,S/I
12423,58439628,2025-06-26T00:00:00,22:50:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO: CICLOMOTOR,ES,CARIACICA,NOVA ROSA DA PENHA,ROD BR 101 CONTORNO,VIA PÚBLICA,S/I,APPLE,IPHONE 11,S/I
12424,58439628,2025-06-26T00:00:00,22:50:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO: CICLOMOTOR,ES,CARIACICA,NOVA ROSA DA PENHA,ROD BR 101 CONTORNO,VIA PÚBLICA,S/I,SAMSUNG,GALAXY 0A,S/I
12425,58439628,2025-06-26T00:00:00,22:50:00,VEICULO,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO: CICLOMOTOR,ES,CARIACICA,NOVA ROSA DA PENHA,ROD BR 101 CONTORNO,VIA PÚBLICA,MOTOCICLETA,HONDA,CG 160 TITAN,PRATA
12426,58439781,2025-06-26T00:00:00,13:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,VILA VELHA,CENTRO VILA VELHA,S/I,TRANSP COLETIVO,S/I,XIAOMI,S/I,S/I
12427,58439799,2025-06-26T00:00:00,13:30:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM TRANSPORTE COLETIVO,ES,VILA VELHA,PRAIA DA COSTA,S/I,TRANSP COLETIVO,S/I,MOTOROLA,G53 5 G 128G,S/I
12428,58439906,2025-06-26T00:00:00,10:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,SANTO ANTONIO,AVENIDA SANTO ANTONIO,VIA PÚBLICA,S/I,MOTOROLA,G24,S/I
12429,58440407,2025-06-26T00:00:00,07:45:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,EXPEDITO,RUA WENCEALAU BRAZ,VIA PÚBLICA,S/I,SAMSUNG,GALAXY A 35 5 G,S/I
12430,58440693,2025-06-26T00:00:00,21:55:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,ALTO LAGE,RUA,VIA PÚBLICA,S/I,SAMSUNG,GALAXY A26 5G,S/I
12431,58440750,2025-06-26T00:00:00,00:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,CARIACICA,GRAUNA,RUA PRINCIPAL,VIA PÚBLICA,MOTOCICLETA,HONDA,CG 125 TITAN KS,VERMELHO
12432,58441487,2025-06-26T00:00:00,14:20:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,CARAPINA,S/I,TRANSP COLETIVO,S/I,APPLE,IPHONE 13 GRAFITE,S/I
12433,58464829,2025-06-26T00:00:00,09:00:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: BICICLETA,ES,VITORIA,BENTO FERREIRA,JOUBERT DE BARROS,OUTRO LOCAL,S/I,KSW,MTB,S/I
12434,58466458,2025-06-26T00:00:00,10:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,RESIDENCIAL JACARAIPE,S/I,VIA PÚBLICA,S/I,MOTOROLA,MOTOG54,S/I
12435,58470173,2025-06-26T00:00:00,19:30:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,COBILANDIA,RUA PENDANGA,OUTRO LOCAL,S/I,XIAOMI,REDMI 13C,S/I
12436,58475183,2025-06-26T00:00:00,17:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DE ITAPARICA,S/I,TRANSP COLETIVO,S/I,SAMSUNG,GALAXY A15,S/I
12437,58476071,2025-06-26T00:00:00,17:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO,ES,SERRA,CIVIT I,S/I,VIA PÚBLICA,S/I,OUTROS,REDMI12,S/I
12438,58476356,2025-06-26T00:00:00,11:00:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: BICICLETA,ES,SERRA,SERRA CENTRO,S/I,VIA PÚBLICA,S/I, oggi,HACKER HDS 24V FLUO S-LIME 17 2021,S/I
12439,58476382,2025-06-26T00:00:00,20:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,JARDIM LIMOEIRO,S/I,VIA PÚBLICA,S/I,XIAOMI,POCO X5 PRO 5G BLACK,S/I
12440,58477919,2025-06-26T00:00:00,19:10:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,JARDIM LIMOEIRO,AV. DESEMBARGADORV MARIO DA SILVA NUNES,COMÉRCIO,S/I,XIAOMI,REDEME 9,S/I
12441,58477973,2025-06-26T00:00:00,21:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,GUARAPARI,CENTRO,MORRO DO ATALAIA,VIA PÚBLICA,S/I,XIAOMI,NOTE 50,S/I
12442,58477973,2025-06-26T00:00:00,21:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,GUARAPARI,CENTRO,MORRO DO ATALAIA,VIA PÚBLICA,S/I,XIAOMI,REDMI NOTE 13,S/I
12443,58486519,2025-06-26T00:00:00,22:09:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO,ES,SERRA,PARQUE RESIDENCIAL LARANJEIRAS,RUA UM A,VIA PÚBLICA,S/I,APPLE,IPHONE 12 MINI,S/I
12444,58435969,2025-06-27T00:00:00,05:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: AUTOMOTOR,ES,CARIACICA,VERA CRUZ,RUA VICENTE SANTORIO FANTINI,VIA PÚBLICA,MOTOCICLETA,HONDA,CB 300R,DOURADO
12445,58436168,2025-06-27T00:00:00,06:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO,ES,CARIACICA,RIO BRANCO,WALDEMAR SIEPIERSKI,VIA PÚBLICA,S/I,SAMSUNG,M52,S/I
12446,58436247,2025-06-27T00:00:00,06:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,RIO BRANCO,RUA WALDEMAR SIEPIERSKI,VIA PÚBLICA,S/I,MOTOROLA,MOTO G 35,S/I
12447,58436400,2025-06-27T00:00:00,06:20:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM TRANSPORTE COLETIVO,ES,CARIACICA,VERA CRUZ,ROD BR 262,VIA PÚBLICA,S/I,SAMSUNG,A54,S/I
12448,58436518,2025-06-27T00:00:00,05:07:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,SAO FRANCISCO,S/I,VIA PÚBLICA,S/I,MOTOROLA,MOTO G54 5G,S/I
12449,58436798,2025-06-27T00:00:00,01:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: CICLOMOTOR,ES,VILA VELHA,OLARIA,RUA NOSSA SENHORA DA PENHA,RESIDÊNCIA,OUTROS,SCOOTER,DAELIM - OUTROS,BRANCO
12450,58436891,2025-06-27T00:00:00,05:30:00,VEICULO,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO,ES,VILA VELHA,ARIBIRI,RUA NOSSA SENHORA DO ROSARIO,VIA PÚBLICA,AUTOMÓVEL,TOYOTA,ETIOS SD X,BRANCO
12451,58436902,2025-06-27T00:00:00,08:46:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM RESIDÊNCIA/CONDOMÍNIO,ES,MANTENOPOLIS,CORREGO MANTENINHA,CORREGO MANTENINHA,RESIDÊNCIA,S/I,MONARK,ANTIGA,S/I
12452,58437229,2025-06-27T00:00:00,06:10:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,NOVA BRASILIA,RUA CLARICIO ALVES RIBEIRO,VIA PÚBLICA,S/I,MOTOROLA,EDGE 50 FUSION 5G,S/I
12453,58437347,2025-06-27T00:00:00,07:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,MIMOSO DO SUL,CENTRO,RODOVIÁRIA,VIA PÚBLICA,S/I,MOTOROLA,MOTO G 100,S/I
12454,58437361,2025-06-27T00:00:00,07:40:00,BICICLETA,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO: BICICLETA,ES,VILA VELHA,ATAIDE,AV CARLOS LINDENBERG,VIA PÚBLICA,S/I,BICICLETA ELETRICA DELTA,OUXI V8 PRO,S/I
12455,58437700,2025-06-27T00:00:00,07:35:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: AUTOMOTOR,ES,VILA VELHA,ITAPOA,RUA DO COQUEIRO,VIA PÚBLICA,AUTOMÓVEL,FIAT,UNO MILLE FIRE,BRANCO
12456,58438897,2025-06-27T00:00:00,Indeterminada,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: CICLOMOTOR,ES,VILA VELHA,SANTA INES,RUA SÃO FRANCISCO,VIA PÚBLICA,CICLOMOTOR,YAMAHA,XTZ150 CROSSER E,CINZA
12457,58439169,2025-06-27T00:00:00,06:15:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,ITANGUA,RUA CLARICIO ALVES RIBEIRO,VIA PÚBLICA,S/I,SAMSUNG,M12 OU M 54,S/I
12458,58439238,2025-06-27T00:00:00,10:10:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,CARIACICA,CAMPO GRANDE,RUA PADRE JOSE CARLOS,VIA PÚBLICA,AUTOMÓVEL,CITROEN,C4 20ATF TEND,PRATA
12459,58439317,2025-06-27T00:00:00,Indeterminada,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: AUTOMOTOR,ES,VITORIA,PARQUE MOSCOSO,RUA WASHINGTON PESSOA,VIA PÚBLICA,MOTOCICLETA,HONDA,CG 150 TITAN ES,CINZA
12460,58439440,2025-06-27T00:00:00,08:40:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,VILA VELHA,NOVA ITAPARICA,"AV. EST. JOSÉ JÚLIO DE SOUZA, S/N - PRAIA DE ITAPARICA, VILA",OUTRO LOCAL,S/I,Riverside,Bicicleta Masculina Aro 29 MS 520 Riverside,S/I
12461,58439484,2025-06-27T00:00:00,09:40:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,VILA VELHA,CRISTOVAO COLOMBO,RUA FELISBERTO PINTO VIEIRA,VIA PÚBLICA,MOTOCICLETA,HONDA,CG 125,AZUL
12462,58439718,2025-06-27T00:00:00,01:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM VEÍCULO,ES,CARIACICA,SANTO ANDRE,S/I,VIA PÚBLICA,S/I,MOTOROLA,G35,S/I
