_id,Nº OCORRÊNCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL
491,57248307,2025-02-17T00:00:00,12:15:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,REPUBLICA,RUA AUDIFAX BARRETO DUARTE,RESIDÊNCIA
492,57249077,2025-02-17T00:00:00,15:59:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM DA PENHA,RUA COMISSARIO OCTAVIO QUEIROZ,AMBIENTE WEB
493,57249113,2025-02-17T00:00:00,15:59:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM DA PENHA,RUA COMISSÁRIO OCTÁVIO QUEIROZ,AGÊNCIA BANCÁRIA
494,57256335,2025-02-17T00:00:00,15:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SERRA,SERRA DOURADA I,RUA FLAMBOYANT,AMBIENTE WEB
495,57336439,2025-02-17T00:00:00,18:22:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SERRA,BARCELONA,S/I,VIA PÚBLICA
496,57251415,2025-02-18T00:00:00,00:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,PANCAS,CENTRO,"AVENIDA LAURINDO BARBOSA, APARTAMENTO, 102",AMBIENTE WEB
497,57254213,2025-02-18T00:00:00,12:29:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,SAO SILVANO,RUA EMILSON COUTINHO,RESIDÊNCIA
498,57256657,2025-02-18T00:00:00,14:22:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,S/I,AMBIENTE WEB
499,57256692,2025-02-18T00:00:00,16:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,S/I,AMBIENTE WEB
500,57257200,2025-02-18T00:00:00,08:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM DA PENHA,RUA NATALINA DAHER CARNEIRO,AMBIENTE WEB
501,57263355,2025-02-18T00:00:00,13:14:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,GUARAPARI,PRAIA DO MORRO,AV OCEANICA,OUTRO LOCAL
502,57268361,2025-02-18T00:00:00,15:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,SAO SILVANO,AVENIDA SILVIO AVIDOS,COMÉRCIO
503,57275974,2025-02-18T00:00:00,14:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,S/I,AMBIENTE WEB
504,57284538,2025-02-18T00:00:00,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SERRA,FEU ROSA,RU COPO DE LEITE,AMBIENTE WEB
505,57525127,2025-02-18T00:00:00,20:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SERRA,CAMPINHO DA SERRA I,RUA ANTURIO,AMBIENTE WEB
506,57637520,2025-02-18T00:00:00,08:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,AGUIA BRANCA,ZONA RURAL,EBENÉZER S/N,RESIDÊNCIA
507,58495520,2025-02-18T00:00:00,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,SANTA HELENA,RUA JOSE TEIXEIRA,AMBIENTE WEB
508,57256207,2025-02-19T00:00:00,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SERRA,OURIMAR,RUA DOMINEU RODY SANTANA,AMBIENTE WEB
509,57259061,2025-02-19T00:00:00,12:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,NOVA VENECIA,BEIRA RIO,S/I,AMBIENTE WEB
510,57259080,2025-02-19T00:00:00,12:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VIANA,BOM PASTOR,RUA MORUMBI,RESIDÊNCIA
511,57259437,2025-02-19T00:00:00,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SAO MATEUS,OUTRO LOCAL,S/I,AMBIENTE WEB
512,57260939,2025-02-19T00:00:00,13:32:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,RUA DULCE BRITO ESPINDULA,AMBIENTE WEB
513,57265694,2025-02-19T00:00:00,08:45:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CASTELO,BELA VISTA,S/I,OUTRO LOCAL
514,57266720,2025-02-19T00:00:00,02:11:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,RUA HUMBERTO BALBI,OUTRO LOCAL
515,57267654,2025-02-19T00:00:00,15:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CONCEICAO DA BARRA,ITAUNAS,PRAÇA PRINCIPAL DE ITAUNAS,AMBIENTE WEB
516,57268301,2025-02-19T00:00:00,12:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,CENTRO,RUA PEDRO EPICHIM,RESIDÊNCIA
517,57279253,2025-02-19T00:00:00,13:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,PANCAS,CORREGO ESPINHO,SITIO AGUA BOA,AMBIENTE WEB
518,57281062,2025-02-19T00:00:00,03:23:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,ALFREDO CHAVES,SAO SEBASTIAO,ALFREDO CHAVES,AMBIENTE WEB
519,57313260,2025-02-19T00:00:00,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SAO MATEUS,OUTRO LOCAL,S/I,AMBIENTE WEB
520,57273968,2025-02-20T00:00:00,11:26:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,VILA NOVA,RUA D.PEDRO II,CONSULTORIO
521,57274886,2025-02-20T00:00:00,08:40:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,CARLOS GERMANO NAUMANN,RUA SÃO VICENTE,AMBIENTE WEB
522,57302484,2025-02-20T00:00:00,14:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CASTELO,SANTO ANDREZINHO,MACHADO DE ASSIS,AMBIENTE WEB
523,57305196,2025-02-20T00:00:00,15:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CARIACICA,CASTELO BRANCO,COMERCIO,AMBIENTE WEB
524,57332563,2025-02-20T00:00:00,20:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,MARIA ORTIZ,RUA AGUAPE,OUTRO LOCAL
525,57280920,2025-02-21T00:00:00,11:50:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,ANCHIETA,PORTAL DE ANCHIETA,RUA MARIA STELLA RAMOS BRILHANTE,RESIDÊNCIA
526,57302494,2025-02-21T00:00:00,20:23:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CASTELO,CENTRO,AVENIDA NOSSA SENHORA DA PENHA,COMÉRCIO
527,57303112,2025-02-21T00:00:00,20:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,S/I,OUTRO LOCAL
528,57285668,2025-02-22T00:00:00,07:26:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,HONORIO FRAGA,S/I,OUTRO LOCAL
529,57307262,2025-02-22T00:00:00,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SAO MATEUS,OUTRO LOCAL,S/I,AMBIENTE WEB
530,57306931,2025-02-24T00:00:00,10:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CARIACICA,TUCUM,RUA MARATAIZES,AMBIENTE WEB
531,57307041,2025-02-24T00:00:00,12:47:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CARIACICA,ALTO LAGE,R ROMUALDO MARTINS,AMBIENTE WEB
532,57311900,2025-02-24T00:00:00,18:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,ALFREDO CHAVES,PARQUE RESIDENCIAL ALFREDO CHAVES,RUA VITORINO BRUNORO,OUTRO LOCAL
533,57311958,2025-02-24T00:00:00,10:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CASTELO,CENTRO,AV NOSSA SENHORA DA PENHA,COMÉRCIO
534,57316354,2025-02-24T00:00:00,23:35:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CARIACICA,CAMPO GRANDE,AV GETULIO VARGAS,AMBIENTE WEB
535,57334592,2025-02-24T00:00:00,17:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CARIACICA,TIRADENTES,TIRADENTES,AMBIENTE WEB
536,57608748,2025-02-24T00:00:00,07:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,BARRA DE SAO FRANCISCO,CENTRO,AV JONES DOS SANTOS NEVES,AMBIENTE WEB
537,57649552,2025-02-24T00:00:00,12:57:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,MANTENOPOLIS,SANTA LUZIA DE MANTENOPOLIS,RUA JOSÉ MOREIRA,AMBIENTE WEB
538,57798322,2025-02-24T00:00:00,19:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CARIACICA,TIRADENTES,RUA RIO DE JANEIRO,OUTRO LOCAL
539,57314353,2025-02-25T00:00:00,10:15:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VILA VELHA,OUTRO LOCAL,INTERNET,OUTRO LOCAL
540,57315811,2025-02-25T00:00:00,11:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CARIACICA,SAO CONRADO,RUA POMBO,AGÊNCIA BANCÁRIA
541,57316345,2025-02-25T00:00:00,15:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,MANTENOPOLIS,CENTRO,RUA PIMENTA,AMBIENTE WEB
542,57325670,2025-02-25T00:00:00,21:08:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CARIACICA,ALTO DA BOA VISTA,RUA SÃO SEBASTIÃO,OUTRO LOCAL
543,57330995,2025-02-25T00:00:00,11:20:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,RIO NOVO DO SUL,CENTRO,RUA FERNANDO DE ABREU,OUTRO LOCAL
544,57331632,2025-02-25T00:00:00,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,AGUIA BRANCA,OUTRO LOCAL,RUA LINDOFO PINHEIRO DE LACERDA,AMBIENTE WEB
545,57331636,2025-02-25T00:00:00,10:20:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,CARATOIRA,TRAVESSA JOÃO VENÂNCIO DOS SANTOS,AMBIENTE WEB
546,57399001,2025-02-25T00:00:00,01:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,RUA JOSE GUILHERME NEFFA,AMBIENTE WEB
547,57535555,2025-02-25T00:00:00,12:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,ANCHIETA,CENTRO,RUA JAIRO PIMENTEL,AMBIENTE WEB
548,57843415,2025-02-25T00:00:00,11:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,MANTENOPOLIS,CENTRO,RUA PREFEITO WILLIAN BENJAMIM,AMBIENTE WEB
549,57325688,2025-02-26T00:00:00,07:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CARIACICA,ITAQUARI,RUA MONTE CLAROS,RESIDÊNCIA
550,57329387,2025-02-26T00:00:00,07:45:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VILA VELHA,OUTRO LOCAL,S/I,AMBIENTE WEB
551,57330598,2025-02-26T00:00:00,10:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,S/I,AMBIENTE WEB
552,57332925,2025-02-26T00:00:00,11:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,MORADA DO SOL,S/I,AMBIENTE WEB
553,57341210,2025-02-26T00:00:00,07:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,SANTO ANTONIO,RUA GABRIEL ELIAS TACLA,RESIDÊNCIA
