_id,Nº OCORRENCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,IDADE,GENERO,COR,MUNICIPIO,BAIRRO,LOGRADOURO,TIPO LOCAL
169,57455320,2025-12-03T00:00:00,06:28,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,37,1 - Masculino,Parda,ITAPEMIRIM,GARRAFAO,RUA NÃO CADASTRADA,Outros Locais
170,57473620,2025-03-13T00:00:00,23:03,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,1,2 - Feminino,Branca,COLATINA,AYRTON SENNA,RUA EMILIO PAULO DE OLIVEIRA,Domicílio
171,57482590,2025-03-14T00:00:00,22:48,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,29,1 - Masculino,Negra,GUARAPARI,OLARIA,RUA DO BERTELI,Via Pública
172,57490969,2025-03-15T00:00:00,21:00,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,30,1 - Masculino,Parda,LINHARES,NOVA ESPERANÇA,AV LAGOA DO ENCANTO,Domicílio
173,57490838,2025-03-15T00:00:00,20:48,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,26,1 - Masculino,Parda,CACHOEIRO DE ITAPEMIRIM,DOUTOR GILSON CARONE,RUA ELZA DE SOUZA MACHADO,Via Pública
174,57488259,2025-03-15T00:00:00,16:05,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,27,1 - Masculino,Negra,LINHARES,ARAÇA,ALAMEDA OSVALDO SILVA PRATTI,Via Pública
175,57483741,2025-03-15T00:00:00,08:35,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,18,1 - Masculino,Negra,CACHOEIRO DE ITAPEMIRIM,DOUTOR GILSON CARONE,RUA DJALMA MANOEL DA SILVA,Ignorado
176,57484112,2025-03-15T00:00:00,04:37,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,25,1 - Masculino,Negra,VITORIA,JARDIM DA PENHA,RUA ARTHUR CZARTORYSKI,Via Pública
177,57483786,2025-03-15T00:00:00,02:37,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,37,1 - Masculino,Negra,VILA VALERIO,SANTA RITA,RUA NÃO CADASTRADA,Via Pública
178,57499401,2025-03-16T00:00:00,23:51,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,31,1 - Masculino,Branca,CACHOEIRO DE ITAPEMIRIM,AEROPORTO,RUA APOSTOLO TOME,Via Pública
179,57500045,2025-03-16T00:00:00,21:07,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,44,1 - Masculino,Parda,VILA VELHA,COBI DE BAIXO,AV BRASIL,Via Pública
180,57429428,2025-03-16T00:00:00,16:07,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,16,1 - Masculino,Parda,LINHARES,RIO QUARTEL,ROD LAGOA DE AGUIAR,Domicílio
181,57502544,2025-03-17T00:00:00,08:13,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,34,1 - Masculino,Parda,VITORIA,GURIGICA,RUA JOSE BARROSO,Via Pública
182,57501531,2025-03-17T00:00:00,01:19,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES, ,1 - Masculino,Parda,CARIACICA,VASCO DA GAMA,AV LEOPOLDINA,Via Pública
183,57493055,2025-03-17T00:00:00,01:06,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,22,1 - Masculino,Parda,PONTO BELO,CENTRO,RUA IBICARAI,Via Pública
184,57547232,2025-03-21T00:00:00,21:57,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,20,1 - Masculino,Parda,CARIACICA,JARDIM BOTANICO,RUA VITORIA,Estabelecimento Comercial
185,57547232,2025-03-21T00:00:00,21:57,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,18,1 - Masculino,Parda,CARIACICA,JARDIM BOTANICO,RUA VITORIA,Estabelecimento Comercial
186,57557854,2025-03-22T00:00:00,23:36,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,20,1 - Masculino,Negra,CARIACICA,FLEXAL II,AV NOSSA SENHORA DA PENHA,Praça / Parques / Área Pública
187,57554048,2025-03-22T00:00:00,16:54,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,26,1 - Masculino,Parda,PEDRO CANARIO,CAMATA,RUA NÃO CADASTRADA,Terreno Baldio / Construção / Mata
188,57553013,2025-03-22T00:00:00,14:44,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,7,1 - Masculino,Parda,SERRA,MORADA DE LARANJEIRAS,RUA MINAS GERAIS,Domicílio
189,57387763,2025-03-23T00:00:00,10:38,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,29,1 - Masculino,Negra,JAGUARE,JIRAU,RUA NÃO CADASTRADA,Via Pública
190,57559697,2025-03-23T00:00:00,06:13,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,26,1 - Masculino,Parda,VILA VELHA,SANTA RITA,RUA DO VALAO,Via Pública
191,57578705,2025-03-25T00:00:00,06:01,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,21,1 - Masculino,Parda,VILA VELHA,SOTECO,RUA ALVARO AZAVEDO,Via Pública
192,57596077,2025-03-26T00:00:00,21:43,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,21,1 - Masculino,Parda,CARIACICA,JARDIM DE ALAH,RUA AUGUSTA CAMPOS,Via Pública
193,57591548,2025-03-26T00:00:00,13:28,CRIMES CONTRA A PESSOA,Feminicídio,ES,27,2 - Feminino,Parda,BAIXO GUANDU,ROSARIO I,RUA DUQUE DE CAXIAS,Domicílio
194,57590158,2025-03-26T00:00:00,11:09,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,39,1 - Masculino,Parda,SAO MATEUS,MORADA DO LAGO,RUA SAO JOAO,Domicílio
195,57578515,2025-03-26T00:00:00,03:52,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,35,1 - Masculino,Negra,VILA VELHA,TERRA VERMELHA,RUA NÃO CADASTRADA,Terreno Baldio / Construção / Mata
196,57597594,2025-03-27T00:00:00,06:30,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,42,1 - Masculino,Parda,VILA VELHA,ATAIDE,EST JERONIMO MONTEIRO,Via Pública
197,57596898,2025-03-27T00:00:00,00:10,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,30,2 - Feminino, ,LINHARES,AVISO,AV MARIA FRANCISCA GABRIEL VICENTINI,Domicílio
198,57623298,2025-03-29T00:00:00,19:02,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,49,1 - Masculino,Parda,BAIXO GUANDU,VILA KENNEDY,RUA TIRADENTES,Via Pública
199,57622685,2025-03-29T00:00:00,17:58,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,19,1 - Masculino,Parda,ARACRUZ,MAR AZUL,RUA NÃO CADASTRADA,Terreno Baldio / Construção / Mata
200,57617729,2025-03-29T00:00:00,07:23,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,21,1 - Masculino,Branca,VARGEM ALTA,CASTELINHO,RUA EUGENIO PASSARELA,Via Pública
201,57617070,2025-03-29T00:00:00,03:22,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,37,1 - Masculino,Parda,BARRA DE SAO FRANCISCO,COLINA,ESC 7 DE SETEMBRO,Via Pública
202,57631589,2025-03-30T00:00:00,17:31,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,23,1 - Masculino,Negra,LINHARES,NOVA ESPERANCA,RUA NÃO CADASTRADA,Lago / Lagoa / Represa
203,57630140,2025-03-30T00:00:00,14:31,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,23,1 - Masculino,Branca,LINHARES,INTERLAGOS,AV QUINTINO BOCAIUVA,Praça / Parques / Área Pública
204,57629589,2025-03-30T00:00:00,13:08,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,24,1 - Masculino,Parda,GUACUI,ZONA RURAL,RUA NÃO CADASTRADA,Via Pública
205,57629380,2025-03-30T00:00:00,12:32,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,27,1 - Masculino,Negra,CARIACICA,CAMPO GRANDE,AV EXPEDITO GARCIA,Via Pública
