_id,Nº OCORRÊNCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL
12171,57708238,2025-02-04T00:00:00,14:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,CACHOEIRO DE ITAPEMIRIM,OUTRO LOCAL,S/I,AMBIENTE WEB
12172,57709205,2025-02-04T00:00:00,11:13:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VILA VALERIO,ZONA RURAL,CÓRREGO SÃO JORGE BARRA JACUTINGA,AMBIENTE WEB
12173,57709266,2025-02-04T00:00:00,15:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,CACHOEIRO DE ITAPEMIRIM,OUTRO LOCAL,HOTEL RINKÃO,OUTRO LOCAL
12174,57709901,2025-02-04T00:00:00,15:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VILA VELHA,CHACARA DO CONDE,BECO CASTANHO,RESIDÊNCIA
12175,57713463,2025-02-04T00:00:00,15:28:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SERRA,LAGOA DE CARAPEBUS,AVENIDA DOS COQUEIROSS,AMBIENTE WEB
12176,57713527,2025-02-04T00:00:00,16:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SERRA,VALPARAISO,S/I,OUTRO LOCAL
12177,57713552,2025-02-04T00:00:00,10:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SERRA,JARDIM LIMOEIRO,RUA LAVRADOR JOSÉ BARBOZA DA SILVA,RESIDÊNCIA
12178,57713557,2025-02-04T00:00:00,16:18:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SERRA,SERRA CENTRO,S/I,AMBIENTE WEB
12179,57713567,2025-02-04T00:00:00,19:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SERRA,VILA NOVA DE COLARES,RUA PRESIDENTE MEDICI,AMBIENTE WEB
12180,57713589,2025-02-04T00:00:00,18:51:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SERRA,CHACARA PARREIRAL,RUA AUGUSTO DOS ANJOS,AMBIENTE WEB
12181,57713714,2025-02-04T00:00:00,17:15:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SERRA,COLINA DE LARANJEIRAS,RUA MONTE GILBOA,OUTRO LOCAL
12182,57713720,2025-02-04T00:00:00,23:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SERRA,BARCELONA,AV PETROPOLIS,AMBIENTE WEB
12183,57713768,2025-02-04T00:00:00,16:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,CACHOEIRO DE ITAPEMIRIM,PARAISO,RUA ALBERICO GUILHERME ROSA,OUTRO LOCAL
12184,57713778,2025-02-04T00:00:00,16:14:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,CARIACICA,EXPEDITO,RUA GENESIO LOUREIRO,RESIDÊNCIA
12185,57714050,2025-02-04T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SERRA,ALTEROSAS,RUA RIO DE JANEIRO,AMBIENTE WEB
12186,57714261,2025-02-04T00:00:00,10:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,JARDIM DA PENHA,S/I,OUTRO LOCAL
12187,57714352,2025-02-04T00:00:00,19:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,JARDIM DA PENHA,RUA CARIJOS,OUTRO LOCAL
12188,57714468,2025-02-04T00:00:00,11:58:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SERRA,JARDIM ATLANTICO,S/I,OUTRO LOCAL
12189,57714778,2025-02-04T00:00:00,12:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,CACHOEIRO DE ITAPEMIRIM,CORONEL BORGES,RUA CORONEL BORGES,RESIDÊNCIA
12190,57715614,2025-02-04T00:00:00,09:50:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SERRA,CENTRO DA SERRA,AVENIDA GETÚLIO VARGAS,ESCOLA
12191,57716090,2025-02-04T00:00:00,16:09:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,SAO PEDRO,"RUA DO CAJÚ,",AMBIENTE WEB
12192,57717734,2025-02-04T00:00:00,07:51:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VIANA,UNIVERSAL,S/I,AMBIENTE WEB
12193,57723042,2025-02-04T00:00:00,11:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,ENSEADA DO SUA,S/I,VIA PÚBLICA
12194,57723069,2025-02-04T00:00:00,17:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,NOVA VENECIA,CENTRAL,RUA ERNESTO AYRES DE FARIAS,AMBIENTE WEB
12195,57723354,2025-02-04T00:00:00,12:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,MATA DA PRAIA,S/I,AMBIENTE WEB
12196,57724803,2025-02-04T00:00:00,08:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,CACHOEIRO DE ITAPEMIRIM,RUI PINTO BANDEIRA,RUA ABINER GONÇALVES PEREIRA,OUTRO LOCAL
12197,57724991,2025-02-04T00:00:00,14:25:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SANTA MARIA DE JETIBA,RIO POSS MOUSER,LUIZ POTRATZ,AMBIENTE WEB
12198,57732750,2025-02-04T00:00:00,10:37:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,MUQUI,CENTRO,RUA HUGO NOVAES,RESIDÊNCIA
12199,57732874,2025-02-04T00:00:00,12:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,CARATOIRA,ESCADARIA MAXIMINIANO BASSINI,OUTRO LOCAL
12200,57733499,2025-02-04T00:00:00,15:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SERRA,MORADA DE LARANJEIRAS,AVENIDA DOS SABIAS,RESIDÊNCIA
12201,57734401,2025-02-04T00:00:00,18:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SAO ROQUE DO CANAA,CENTRO,S/I,AMBIENTE WEB
12202,57734427,2025-02-04T00:00:00,15:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,JARDIM DA PENHA,RUA ARTHUR CZARTORYSKI,TRANSP POR APP
12203,57735304,2025-02-04T00:00:00,10:05:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,ARACRUZ,OUTRO LOCAL,S/I,AMBIENTE WEB
12204,57737869,2025-02-04T00:00:00,08:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,NOVA VENECIA,DIADEMA,RUA PROJETADA,AMBIENTE WEB
12205,57741475,2025-02-04T00:00:00,14:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,GUARAPARI,MUQUICABA,RUA ELADINO VECONHA,TRANSP POR APP
12206,57741917,2025-02-04T00:00:00,00:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,SANTOS DUMONT,RUA DOUTOR GASTAO PACHE DE FARIAS,RESIDÊNCIA
12207,57744708,2025-02-04T00:00:00,07:26:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,SANTA LUCIA,AVENIDA NOSSA SENHORA DA PENHA,AMBIENTE WEB
12208,57752758,2025-02-04T00:00:00,14:41:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,ITAPEMIRIM,ITAIPAVA,S/I,AMBIENTE WEB
12209,57770875,2025-02-04T00:00:00,10:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SAO MATEUS,BOA VISTA,"ROD. GOVERNADOR MÁRIO COVAS, KM 62",COMÉRCIO
12210,57771546,2025-02-04T00:00:00,16:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,GUARAPARI,PALMEIRAS,ROD. DO SOL,COMÉRCIO
12211,57773954,2025-02-04T00:00:00,10:45:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,CARIACICA,CAMPO GRANDE,AVENIDA EXPEDITO GARCIA,COMÉRCIO
